GM,Ip,BF,VL,St,TA,Gs,Gr
0.00057756,0.000650931,0.000611068,0.000656965,0.00118697,0.000541188,0.000659977,0.00155307
0.000605994,0.000686032,0.000621306,0.000731861,0.0010765,0.000542809,0.000626822,0.00171417
0.000601548,0.000637016,0.000626306,0.00069134,0.00102829,0.000589311,0.000601924,0.00170587
0.000612848,0.000645428,0.000660281,0.000662585,0.000923173,0.000633937,0.000605482,0.00144206
0.000574453,0.000572205,0.000663569,0.000669046,0.00111287,0.000585576,0.000660542,0.00124166
0.000513319,0.000618196,0.000650525,0.00067556,0.00110175,0.000575533,0.000606093,0.00145619
0.000457725,0.000604476,0.000691049,0.00067515,0.00119072,0.000511203,0.000729484,0.00148329
0.000508618,0.000643023,0.000733568,0.000602347,0.00138117,0.000545965,0.000806772,0.0013544
0.000526433,0.000614774,0.000722136,0.000554273,0.00123265,0.000612922,0.000834653,0.00116612
0.000579958,0.000549963,0.000743107,0.000531185,0.00111967,0.000608735,0.00089366,0.000807816
0.000545748,0.000581463,0.000726323,0.000651729,0.000832405,0.000630941,0.000712863,0.000864873
0.000552704,0.000680037,0.000690937,0.000724729,0.000799186,0.000628254,0.000684677,0.0018282
0.000581666,0.00130474,0.000656892,0.000724444,0.000747519,0.000666402,0.000655988,0.0018742
0.000584333,0.00134402,0.00068846,0.00082406,0.000845389,0.000648383,0.000617419,0.00183576
0.00060746,0.0015183,0.000701303,0.000791257,0.00111027,0.000691471,0.000544983,0.00123071
0.000600819,0.00121015,0.000737174,0.000782576,0.00142043,0.000655685,0.000641758,0.000900367
0.0005843,0.00116966,0.000678551,0.000792691,0.00114399,0.000714147,0.000673515,0.00101211
0.000547691,0.00162477,0.000591649,0.000581366,0.000888713,0.000704329,0.000755583,0.00123359
0.000520548,0.0017529,0.00060662,0.000620595,0.000816802,0.000644046,0.000741312,0.00117561
0.000530641,0.0020283,0.000677845,0.000611286,0.000833722,0.000650035,0.000710129,0.00124103
0.000587106,0.00229755,0.000718494,0.000589183,0.000829346,0.000594141,0.000610935,0.00100512
0.000578783,0.00241507,0.000725778,0.000590533,0.000839948,0.000572249,0.000568204,0.000907323
0.000593738,0.00259662,0.000721673,0.000540352,0.000606027,0.00061408,0.000544216,0.000935361
0.000863866,0.00189189,0.00070308,0.000492626,0.00057728,0.000611373,0.000682722,0.000895479
0.00117004,0.000778535,0.000706712,0.000547779,0.000633857,0.000638513,0.000854507,0.000929375
0.00117158,0.000824146,0.000661661,0.000528743,0.000627561,0.00056118,0.000873344,0.000923998
0.00117804,0.000898081,0.000673487,0.000639341,0.000630669,0.000614127,0.000891479,0.00105749
0.000595714,0.000882326,0.000627349,0.000590963,0.000589191,0.000616111,0.000626283,0.00123191
0.000581625,0.00108847,0.000687764,0.00067765,0.000810666,0.000575443,0.000561442,0.00159433
0.000518333,0.00121818,0.000701324,0.000622774,0.000824013,0.000672952,0.000561935,0.00214688
0.000503009,0.00170727,0.000714,0.000812263,0.000839808,0.000575262,0.000537853,0.0020937
0.000544296,0.00158417,0.000727806,0.000858636,0.00075154,0.000602093,0.000566274,0.00201603
0.000561449,0.00154269,0.000751413,0.000831266,0.000662597,0.000568827,0.000611553,0.00198008
0.000604448,0.00100561,0.000732592,0.000797611,0.000651494,0.000543809,0.000748505,0.00179661
0.000789641,0.000916228,0.000697547,0.000547331,0.00057834,0.000532505,0.000945651,0.0015503
0.00121686,0.000891463,0.00070363,0.000542668,0.000561324,0.000493044,0.00090684,0.00142495
0.00215826,0.000814088,0.00061372,0.000520715,0.000541436,0.000478717,0.00131838,0.00142125
0.0034556,0.000645004,0.000647717,0.000467016,0.000567808,0.000515788,0.00306262,0.00267816
0.00503414,0.000763732,0.000652896,0.000443598,0.000586739,0.00051813,0.00374161,0.00414551
0.00763228,0.00123012,0.000682108,0.000527272,0.000749903,0.000864661,0.00783126,0.00510818
